,roomTempC,pulseVoltage,numTxCycles,numTxElements,txFrequencyHz,elevAperIndex,isTxAperModulationEn,pulseRepetRate,scanRange,probePitchCm,probeRadiusCm,probeElevAperCm0,probeNumElements,probeElevFocusRangCm,volt2,temperatureC,normal_Temp,volt_norm,probeDescription_Convex,probeDescription_Linear,probeDescription_Phase,txpgWaveformStyle_0,txpgWaveformStyle_1,txpgWaveformStyle_2,txpgWaveformStyle_3,txpgWaveformStyle_4,probeId_10136142,probeId_10136143,probeId_11014154,probeId_11014543,probeId_11014552,probeId_112,probeId_11268276,probeId_11268277,probeId_11268278,probeId_11268279,probeId_11268679,probeId_11284920,probeId_11284921,probeId_11284922,probeId_11284923,probeId_11284924,probeId_11319682,probeId_11319697,probeId_11361589,probeId_11370778,probeId_11370949,probeId_11503481,probeId_11503732,probeId_11575443,probeId_11575444,probeId_11575446,probeId_11711157,probeId_11712408,probeId_128,probeId_140,probeId_142,probeId_143,probeId_146,probeId_147,probeId_148,probeId_149,probeId_1490,probeId_150,probeId_151,probeId_154,probeId_157,probeId_162,probeId_167,probeId_187,probeId_231,probeId_244,probeId_554,probeId_656
102,22.600000381469727,34.89980697631836,4.0,128,3636400.0,0,0,1045.8299560546875,0.0,0.021199999377131462,1.4800000190734863,0.5,128.0,1.899999976158142,1217.9965269842796,34.099998474121094,8.15142038069953,0.006692482449750646,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,23.100000381469727,34.89980697631836,4.0,128,4444400.0,0,0,1660.0,0.0,0.021199999377131462,1.4800000190734863,0.5,128.0,1.899999976158142,1217.9965269842796,45.79999923706055,6.897590246545263,0.005663062327134443,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
112,24.0,34.89980697631836,2.0,64,4210500.0,0,0,2768.0,0.0,0.014999999664723873,0.0,0.800000011920929,64.0,5.0,1217.9965269842796,38.29999923706055,6.918352463341862,0.005680108530745552,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,24.0,34.89980697631836,1.5,64,5714300.0,0,0,4102.330078125,0.0,0.014999999664723873,0.0,0.800000011920929,64.0,5.0,1217.9965269842796,41.0,6.662880073713189,0.005470360486339207,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
122,24.0,34.89980697631836,2.0,64,5714300.0,0,0,2640.0,0.0,0.014999999664723873,0.0,0.800000011920929,64.0,5.0,1217.9965269842796,40.099998474121094,7.594696680704752,0.006235400932964052,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,23.899999618530273,34.89980697631836,1.0,64,6666700.0,0,0,7972.169921875,0.0,0.014999999664723873,0.0,0.800000011920929,64.0,5.0,1217.9965269842796,38.400001525878906,4.816756529550675,0.003954655389270124,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,24.200000762939453,34.89980697631836,2.0,64,6666700.0,0,0,3463.5,0.0,0.014999999664723873,0.0,0.800000011920929,64.0,5.0,1217.9965269842796,41.900001525878906,6.048794792244681,0.004966183940787831,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
137,24.399999618530273,34.89980697631836,2.0,64,2666700.0,0,0,6281.169921875,0.0,0.014999999664723873,0.0,0.800000011920929,64.0,5.0,1217.9965269842796,39.29999923706055,3.1283980314075834,0.002568478613936114,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
142,24.299999237060547,34.89980697631836,2.0,64,3076900.0,0,0,5118.83984375,0.0,0.014999999664723873,0.0,0.800000011920929,64.0,5.0,1217.9965269842796,41.0,4.004813712824027,0.0032880337702931037,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,24.200000762939453,34.89980697631836,2.0,64,3636400.0,0,0,3531.659912109375,0.0,0.014999999664723873,0.0,0.800000011920929,64.0,5.0,1217.9965269842796,39.70000076293945,5.620586601050666,0.004614616278887969,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
